S-2-3-3-0-NR,0.0005965232849121094,25,[[[1, 1, 2, 1], [2, 1, 2, 2], [2, 2, 1, 1]], [[1, 1, 2, 2], [2, 2, 2, 2], [2, 1, 1, 1]], [[2, 2, 2, 1], [2, 2, 2, 1], [2, 1, 1, 2]]]
S-2-3-3-1-NR,0.00030040740966796875,32,[[[1, 2, 2, 1], [2, 2, 1, 2], [1, 1, 2, 2]], [[1, 1, 2, 1], [2, 2, 2, 1], [2, 2, 1, 1]], [[1, 1, 2, 2], [2, 1, 1, 1], [1, 1, 1, 1]]]
S-2-3-3-2-NR,0.0003685951232910156,41,[[[2, 1, 2, 2], [2, 1, 2, 2], [2, 2, 1, 1]], [[1, 2, 2, 2], [2, 2, 2, 2], [2, 1, 2, 1]], [[1, 2, 1, 1], [1, 2, 1, 1], [1, 1, 2, 2]]]
S-2-3-3-3-NR,0.003464937210083008,444,[[[2, 2, 1, 1], [1, 1, 2, 1], [2, 2, 2, 2]], [[1, 1, 2, 1], [2, 1, 1, 1], [1, 2, 1, 2]], [[1, 1, 1, 1], [1, 1, 1, 1], [1, 2, 2, 2]]]
S-2-3-3-4-NR,0.003375530242919922,216,[[[1, 2, 2, 1], [2, 1, 1, 2], [1, 2, 1, 2]], [[1, 1, 1, 2], [1, 2, 2, 1], [2, 2, 2, 1]], [[1, 2, 1, 2], [1, 1, 1, 1], [1, 1, 2, 1]]]
S-2-3-3-5-NR,0.0010738372802734375,93,[[[1, 1, 2, 1], [2, 2, 1, 1], [1, 1, 1, 1]], [[1, 1, 2, 2], [2, 1, 2, 1], [2, 1, 1, 2]], [[2, 2, 1, 1], [1, 1, 1, 2], [1, 2, 1, 2]]]
S-2-3-3-6-NR,0.0008039474487304688,99,[[[2, 2, 2, 2], [2, 2, 2, 2], [2, 1, 2, 1]], [[1, 2, 1, 2], [1, 2, 1, 1], [1, 1, 1, 2]], [[1, 2, 1, 2], [1, 1, 2, 1], [2, 2, 2, 2]]]
S-2-3-3-7-NR,0.002869844436645508,363,[[[1, 1, 1, 1], [1, 2, 1, 2], [1, 1, 1, 1]], [[2, 1, 2, 1], [2, 2, 1, 1], [1, 1, 1, 2]], [[1, 1, 1, 1], [1, 1, 1, 1], [1, 2, 2, 2]]]
S-2-3-3-8-NR,0.0035429000854492188,256,[[[2, 2, 2, 2], [2, 1, 1, 2], [1, 2, 2, 2]], [[1, 2, 1, 2], [1, 2, 1, 2], [1, 2, 1, 1]], [[1, 2, 1, 1], [1, 2, 2, 1], [2, 1, 2, 1]]]
S-2-3-3-9-NR,0.00022268295288085938,13,[[[2, 1, 1, 1], [1, 1, 1, 2], [1, 2, 2, 1]], [[2, 1, 2, 1], [2, 2, 1, 2], [1, 1, 2, 1]], [[2, 1, 1, 2], [1, 2, 1, 1], [1, 1, 1, 1]]]
S-2-3-3-10-NR,0.0003180503845214844,16,[[[2, 2, 2, 1], [2, 2, 2, 1], [2, 1, 1, 2]], [[2, 1, 1, 2], [1, 1, 2, 2], [2, 2, 2, 2]], [[1, 2, 1, 1], [1, 2, 2, 1], [2, 2, 2, 2]]]
