S-6-6-6-999-NR,82.62753677368164,8826598,[[[6, 1, 4, 1], [4, 5, 3, 1], [3, 5, 2, 6], [2, 5, 5, 2], [5, 4, 2, 6], [2, 4, 2, 3]], [[6, 1, 2, 1], [2, 1, 5, 5], [5, 6, 4, 6], [4, 2, 6, 3], [6, 6, 2, 6], [2, 3, 3, 6]], [[6, 1, 4, 4], [4, 5, 1, 6], [1, 6, 1, 2], [1, 3, 1, 6], [1, 6, 6, 2], [6, 6, 6, 4]], [[1, 4, 3, 5], [3, 6, 3, 1], [3, 2, 2, 4], [2, 6, 1, 4], [1, 2, 5, 5], [5, 4, 6, 2]], [[2, 5, 2, 2], [2, 1, 1, 1], [1, 4, 2, 1], [2, 4, 5, 6], [5, 5, 3, 2], [3, 2, 2, 2]], [[3, 2, 4, 5], [4, 1, 5, 1], [5, 1, 3, 6], [3, 6, 4, 3], [4, 2, 1, 4], [1, 2, 2, 6]]]
S-6-6-6-99-NR,3269.4704115390778,351919137,[[[4, 4, 2, 3], [2, 2, 4, 6], [4, 5, 2, 2], [2, 2, 4, 6], [4, 2, 2, 5], [2, 2, 2, 3]], [[1, 3, 1, 6], [1, 6, 5, 6], [5, 2, 1, 4], [1, 6, 3, 4], [3, 5, 1, 3], [1, 3, 3, 5]], [[6, 6, 1, 4], [1, 6, 2, 3], [2, 4, 5, 1], [5, 4, 4, 5], [4, 3, 2, 5], [2, 5, 4, 4]], [[5, 4, 1, 3], [1, 3, 2, 2], [2, 1, 6, 2], [6, 5, 6, 4], [6, 5, 5, 2], [5, 4, 5, 5]], [[6, 3, 6, 2], [6, 2, 1, 1], [1, 2, 1, 2], [1, 4, 4, 6], [4, 2, 4, 1], [4, 5, 5, 4]], [[1, 2, 6, 5], [6, 1, 1, 4], [1, 2, 2, 2], [2, 6, 3, 4], [3, 1, 5, 6], [5, 4, 6, 5]]]
S-6-6-6-100-NR,220.51617074012756,23578471,[[[2, 4, 2, 2], [2, 4, 2, 2], [2, 2, 3, 3], [3, 6, 6, 4], [6, 4, 2, 4], [2, 6, 3, 4]], [[4, 2, 5, 3], [5, 2, 4, 2], [4, 3, 6, 6], [6, 4, 1, 2], [1, 4, 1, 5], [1, 4, 5, 4]], [[1, 3, 2, 5], [2, 2, 2, 2], [2, 6, 2, 1], [2, 2, 6, 2], [6, 5, 4, 6], [4, 4, 5, 4]], [[1, 5, 2, 5], [2, 2, 5, 1], [5, 1, 5, 2], [5, 2, 6, 5], [6, 6, 5, 6], [5, 4, 1, 3]], [[6, 5, 6, 5], [6, 1, 3, 5], [3, 2, 6, 3], [6, 5, 5, 3], [5, 6, 4, 4], [4, 3, 4, 1]], [[3, 5, 1, 1], [1, 5, 3, 6], [3, 3, 6, 6], [6, 3, 4, 2], [4, 4, 3, 3], [3, 1, 2, 3]]]
S-6-6-6-101-NR,3294.0124764442444,412497430,[[[5, 2, 3, 2], [3, 5, 4, 3], [4, 3, 2, 6], [2, 4, 4, 4], [4, 1, 2, 1], [2, 6, 5, 4]], [[2, 2, 4, 3], [4, 3, 2, 1], [2, 6, 6, 5], [6, 4, 6, 3], [6, 1, 6, 3], [6, 4, 5, 4]], [[2, 3, 4, 2], [4, 1, 4, 1], [4, 5, 4, 6], [4, 3, 6, 4], [6, 3, 1, 4], [1, 4, 3, 2]], [[4, 2, 5, 1], [5, 1, 3, 1], [3, 6, 3, 6], [3, 4, 3, 1], [3, 4, 3, 5], [3, 2, 6, 2]], [[2, 1, 1, 4], [1, 1, 2, 3], [2, 6, 1, 2], [1, 1, 4, 6], [4, 5, 6, 3], [6, 2, 3, 6]], [[4, 4, 5, 1], [5, 3, 4, 3], [4, 2, 2, 2], [2, 6, 4, 2], [4, 3, 5, 1], [5, 6, 4, 5]]]
S-6-6-6-102-NR,3134.8676981925964,333211828,[[[2, 6, 6, 4], [6, 4, 4, 2], [4, 3, 5, 2], [5, 2, 1, 1], [1, 5, 6, 2], [6, 6, 6, 5]], [[5, 4, 5, 4], [5, 2, 5, 2], [5, 2, 6, 5], [6, 1, 5, 2], [5, 2, 4, 5], [4, 5, 2, 4]], [[4, 4, 6, 4], [6, 2, 6, 1], [6, 5, 2, 5], [2, 2, 1, 3], [1, 5, 4, 6], [4, 4, 3, 2]], [[5, 4, 5, 4], [5, 1, 6, 5], [6, 5, 4, 5], [4, 3, 2, 2], [2, 6, 3, 2], [3, 2, 4, 1]], [[5, 4, 5, 2], [5, 5, 6, 3], [6, 5, 4, 2], [4, 2, 5, 5], [5, 2, 4, 6], [4, 1, 5, 3]], [[1, 2, 3, 6], [3, 3, 6, 5], [6, 2, 6, 5], [6, 5, 4, 4], [4, 6, 6, 6], [6, 3, 5, 2]]]
S-6-6-6-103-NR,1579.7297341823578,169014606,[[[6, 4, 2, 1], [2, 6, 6, 2], [6, 6, 5, 5], [5, 6, 3, 2], [3, 2, 6, 4], [6, 6, 1, 6]], [[5, 1, 5, 6], [5, 2, 6, 4], [6, 5, 2, 6], [2, 2, 5, 5], [5, 4, 2, 1], [2, 6, 6, 3]], [[1, 6, 2, 5], [2, 4, 2, 6], [2, 6, 5, 5], [5, 5, 4, 3], [4, 1, 6, 3], [6, 3, 6, 2]], [[4, 5, 5, 4], [5, 6, 5, 2], [5, 5, 6, 5], [6, 3, 3, 1], [3, 3, 4, 2], [4, 2, 4, 2]], [[3, 4, 4, 5], [4, 2, 3, 1], [3, 5, 4, 3], [4, 1, 1, 6], [1, 2, 6, 1], [6, 2, 6, 3]], [[1, 5, 4, 4], [4, 1, 6, 1], [6, 3, 1, 2], [1, 6, 5, 2], [5, 1, 1, 5], [1, 3, 1, 1]]]
slurmstepd: error: *** JOB 12943169 ON cdr1115 CANCELLED AT 2018-10-30T01:37:40 DUE TO TIME LIMIT ***
S-6-6-6-105-NR,1922.035472869873,204879331,[[[5, 3, 6, 2], [6, 5, 6, 2], [6, 1, 5, 3], [5, 1, 5, 3], [5, 3, 1, 3], [1, 5, 5, 5]], [[3, 2, 1, 3], [1, 2, 6, 6], [6, 3, 2, 6], [2, 3, 4, 5], [4, 3, 5, 5], [5, 5, 3, 6]], [[2, 3, 6, 4], [6, 6, 5, 5], [5, 6, 4, 5], [4, 5, 3, 5], [3, 5, 6, 1], [6, 6, 3, 5]], [[2, 4, 4, 3], [4, 5, 3, 6], [3, 5, 3, 5], [3, 5, 2, 1], [2, 1, 5, 4], [5, 5, 2, 4]], [[1, 3, 3, 5], [3, 6, 1, 5], [1, 5, 2, 2], [2, 1, 1, 5], [1, 4, 2, 3], [2, 4, 6, 6]], [[4, 5, 4, 3], [4, 5, 4, 2], [4, 2, 5, 4], [5, 5, 5, 5], [5, 3, 2, 4], [2, 6, 4, 4]]]
S-6-6-6-106-NR,2440.5737359523773,257358423,[[[6, 4, 6, 2], [6, 1, 2, 3], [2, 5, 3, 4], [3, 5, 3, 1], [3, 4, 3, 3], [3, 1, 3, 3]], [[1, 2, 2, 2], [2, 3, 4, 1], [4, 4, 1, 1], [1, 1, 6, 3], [6, 3, 1, 6], [1, 3, 2, 2]], [[4, 2, 6, 3], [6, 1, 4, 6], [4, 1, 5, 3], [5, 3, 5, 3], [5, 6, 4, 4], [4, 2, 3, 4]], [[4, 3, 2, 2], [2, 6, 2, 4], [2, 3, 2, 2], [2, 3, 2, 2], [2, 4, 3, 5], [3, 4, 4, 5]], [[6, 2, 2, 2], [2, 4, 3, 3], [3, 2, 2, 5], [2, 2, 6, 3], [6, 5, 5, 4], [5, 5, 6, 5]], [[3, 2, 4, 6], [4, 3, 2, 2], [2, 5, 6, 6], [6, 3, 4, 4], [4, 4, 2, 3], [2, 5, 6, 4]]]
S-6-6-6-107-NR,2399.1716668605804,255940385,[[[2, 5, 2, 6], [2, 5, 5, 2], [5, 6, 2, 3], [2, 6, 1, 1], [1, 4, 2, 1], [2, 4, 3, 4]], [[2, 6, 2, 2], [2, 2, 4, 3], [4, 3, 1, 2], [1, 1, 3, 4], [3, 1, 4, 2], [4, 4, 4, 1]], [[5, 2, 5, 3], [5, 3, 4, 3], [4, 2, 3, 1], [3, 4, 4, 6], [4, 2, 6, 3], [6, 1, 1, 2]], [[3, 3, 2, 2], [2, 3, 5, 1], [5, 1, 5, 4], [5, 6, 2, 6], [2, 3, 6, 2], [6, 2, 3, 6]], [[5, 2, 3, 4], [3, 1, 4, 5], [4, 4, 5, 4], [5, 6, 3, 1], [3, 2, 4, 5], [4, 6, 1, 5]], [[6, 4, 1, 6], [1, 5, 4, 3], [4, 4, 4, 3], [4, 1, 6, 2], [6, 5, 1, 2], [1, 5, 5, 2]]]
S-6-6-6-108-NR,395.1912875175476,42621363,[[[2, 6, 3, 6], [3, 1, 4, 2], [4, 6, 6, 6], [6, 4, 5, 6], [5, 6, 1, 6], [1, 3, 4, 6]], [[2, 6, 5, 4], [5, 2, 1, 3], [1, 6, 6, 3], [6, 6, 6, 2], [6, 6, 2, 5], [2, 6, 1, 4]], [[3, 4, 2, 1], [2, 3, 1, 4], [1, 3, 5, 1], [5, 2, 4, 2], [4, 5, 3, 2], [3, 4, 2, 6]], [[2, 1, 4, 6], [4, 4, 6, 1], [6, 1, 3, 2], [3, 2, 2, 5], [2, 2, 3, 5], [3, 6, 2, 2]], [[6, 6, 1, 2], [1, 1, 5, 4], [5, 2, 4, 2], [4, 5, 1, 5], [1, 5, 6, 2], [6, 2, 3, 1]], [[2, 2, 6, 1], [6, 4, 5, 2], [5, 2, 2, 4], [2, 5, 5, 5], [5, 2, 2, 1], [2, 1, 1, 5]]]
slurmstepd: error: *** JOB 12943072 ON cdr1254 CANCELLED AT 2018-10-30T01:34:36 DUE TO TIME LIMIT ***
S-6-6-6-109-NR,39.429741621017456,4983359,[[[3, 2, 5, 3], [5, 4, 1, 5], [1, 4, 2, 6], [2, 5, 1, 6], [1, 1, 3, 5], [3, 1, 2, 2]], [[5, 3, 2, 5], [2, 5, 6, 2], [6, 6, 4, 6], [4, 6, 6, 4], [6, 5, 2, 4], [2, 2, 4, 3]], [[3, 5, 2, 2], [2, 2, 1, 6], [1, 6, 1, 4], [1, 4, 4, 6], [4, 4, 4, 1], [4, 3, 5, 3]], [[5, 2, 6, 2], [6, 6, 4, 5], [4, 4, 5, 6], [5, 6, 1, 6], [1, 1, 1, 3], [1, 3, 1, 4]], [[2, 2, 3, 5], [3, 5, 6, 4], [6, 6, 1, 1], [1, 6, 4, 1], [4, 3, 4, 3], [4, 4, 4, 2]], [[5, 5, 3, 3], [3, 4, 4, 4], [4, 1, 2, 6], [2, 1, 5, 2], [5, 3, 3, 3], [3, 2, 6, 5]]]
S-6-6-6-110-NR,2953.9595260620117,317337532,[[[4, 5, 5, 4], [5, 2, 5, 6], [5, 4, 2, 3], [2, 4, 3, 3], [3, 6, 3, 5], [3, 3, 6, 1]], [[5, 4, 4, 5], [4, 6, 4, 3], [4, 3, 6, 2], [6, 3, 2, 3], [2, 5, 4, 4], [4, 1, 6, 2]], [[1, 5, 2, 4], [2, 3, 2, 1], [2, 2, 4, 3], [4, 3, 3, 2], [3, 4, 2, 3], [2, 2, 5, 2]], [[4, 4, 2, 3], [2, 1, 2, 1], [2, 3, 5, 3], [5, 2, 6, 2], [6, 3, 1, 4], [1, 2, 5, 4]], [[3, 3, 2, 2], [2, 1, 4, 5], [4, 3, 4, 3], [4, 2, 6, 6], [6, 4, 5, 5], [5, 4, 6, 3]], [[1, 2, 1, 1], [1, 5, 3, 5], [3, 3, 4, 1], [4, 6, 4, 2], [4, 5, 5, 4], [5, 3, 6, 1]]]
slurmstepd: error: *** JOB 12943176 ON cdr1143 CANCELLED AT 2018-10-30T01:38:10 DUE TO TIME LIMIT ***
S-6-6-6-112-NR,1275.8281707763672,135338025,[[[4, 6, 2, 6], [2, 5, 5, 6], [5, 5, 6, 2], [6, 3, 6, 4], [6, 6, 5, 3], [5, 4, 4, 4]], [[6, 6, 5, 4], [5, 6, 3, 1], [3, 2, 1, 1], [1, 4, 6, 2], [6, 3, 3, 4], [3, 4, 2, 6]], [[3, 4, 1, 5], [1, 1, 1, 1], [1, 1, 2, 3], [2, 2, 6, 5], [6, 4, 4, 1], [4, 6, 2, 3]], [[5, 5, 6, 4], [6, 1, 5, 2], [5, 3, 3, 5], [3, 5, 4, 2], [4, 1, 5, 6], [5, 3, 4, 5]], [[1, 4, 1, 2], [1, 2, 5, 3], [5, 5, 2, 5], [2, 2, 6, 5], [6, 6, 2, 4], [2, 5, 4, 4]], [[5, 2, 2, 2], [2, 3, 5, 6], [5, 5, 6, 4], [6, 5, 2, 4], [2, 4, 6, 3], [6, 4, 3, 2]]]
S-6-6-6-113-NR,307.6845042705536,33290119,[[[1, 6, 4, 3], [4, 6, 6, 1], [6, 3, 5, 3], [5, 1, 2, 5], [2, 4, 2, 5], [2, 5, 3, 3]], [[2, 3, 6, 4], [6, 1, 6, 4], [6, 3, 2, 3], [2, 5, 4, 6], [4, 5, 3, 6], [3, 3, 4, 2]], [[1, 4, 2, 6], [2, 4, 1, 1], [1, 3, 4, 2], [4, 6, 1, 6], [1, 6, 5, 6], [5, 2, 1, 3]], [[3, 6, 5, 5], [5, 1, 2, 2], [2, 2, 1, 2], [1, 6, 4, 1], [4, 6, 5, 1], [5, 3, 2, 5]], [[5, 5, 6, 5], [6, 2, 1, 2], [1, 2, 3, 5], [3, 1, 5, 5], [5, 1, 3, 2], [3, 5, 3, 1]], [[4, 5, 6, 3], [6, 2, 4, 3], [4, 5, 1, 4], [1, 5, 6, 3], [6, 2, 6, 4], [6, 1, 2, 4]]]
S-6-6-6-114-NR,2978.5413916110992,317651289,[[[2, 5, 4, 1], [4, 1, 5, 5], [5, 3, 3, 3], [3, 6, 5, 6], [5, 2, 6, 4], [6, 6, 5, 5]], [[1, 1, 4, 2], [4, 5, 4, 6], [4, 3, 2, 3], [2, 6, 5, 3], [5, 4, 6, 1], [6, 5, 2, 1]], [[5, 2, 2, 5], [2, 6, 6, 6], [6, 3, 3, 3], [3, 3, 2, 5], [2, 1, 2, 4], [2, 1, 5, 3]], [[6, 5, 1, 5], [1, 6, 2, 1], [2, 3, 3, 3], [3, 5, 1, 2], [1, 4, 4, 1], [4, 3, 5, 3]], [[3, 5, 3, 1], [3, 1, 2, 2], [2, 3, 2, 4], [2, 2, 1, 2], [1, 1, 5, 4], [5, 3, 5, 4]], [[1, 1, 3, 5], [3, 2, 3, 3], [3, 4, 1, 3], [1, 2, 3, 6], [3, 4, 4, 1], [4, 4, 1, 4]]]
S-6-6-6-115-NR,3497.871592283249,430752920,[[[3, 2, 5, 2], [5, 1, 2, 2], [2, 5, 2, 5], [2, 1, 2, 2], [2, 3, 6, 6], [6, 5, 3, 4]], [[6, 2, 1, 6], [1, 2, 2, 5], [2, 5, 3, 5], [3, 2, 2, 6], [2, 6, 6, 3], [6, 4, 6, 5]], [[3, 6, 2, 3], [2, 5, 4, 3], [4, 5, 5, 2], [5, 6, 4, 6], [4, 3, 6, 3], [6, 5, 6, 2]], [[3, 3, 5, 5], [5, 3, 4, 6], [4, 2, 5, 6], [5, 6, 6, 6], [6, 3, 4, 3], [4, 2, 4, 2]], [[1, 5, 5, 6], [5, 6, 2, 5], [2, 6, 3, 5], [3, 6, 3, 5], [3, 3, 5, 6], [5, 2, 5, 5]], [[5, 6, 2, 2], [2, 5, 1, 2], [1, 5, 6, 1], [6, 5, 1, 3], [1, 6, 4, 2], [4, 5, 4, 6]]]
S-6-6-6-116-NR,1888.958146572113,232792557,[[[6, 5, 4, 1], [4, 5, 5, 5], [5, 6, 1, 4], [1, 3, 4, 2], [4, 1, 6, 5], [6, 6, 3, 3]], [[6, 1, 2, 4], [2, 5, 5, 1], [5, 4, 5, 4], [5, 2, 5, 2], [5, 5, 5, 4], [5, 3, 2, 5]], [[4, 4, 3, 6], [3, 1, 3, 4], [3, 4, 1, 4], [1, 2, 6, 1], [6, 4, 4, 6], [4, 5, 4, 6]], [[2, 6, 6, 2], [6, 4, 3, 6], [3, 4, 5, 6], [5, 1, 1, 1], [1, 6, 6, 4], [6, 6, 1, 3]], [[4, 2, 3, 2], [3, 6, 3, 4], [3, 6, 4, 2], [4, 1, 6, 3], [6, 4, 6, 1], [6, 3, 5, 6]], [[4, 2, 6, 5], [6, 4, 4, 1], [4, 2, 4, 4], [4, 3, 1, 1], [1, 1, 1, 3], [1, 6, 5, 3]]]
slurmstepd: error: *** JOB 12943184 ON cdr1223 CANCELLED AT 2018-10-30T01:38:40 DUE TO TIME LIMIT ***
S-6-6-6-118-NR,1147.835331916809,123426491,[[[6, 6, 1, 2], [1, 2, 5, 2], [5, 3, 4, 3], [4, 1, 1, 5], [1, 6, 1, 5], [1, 3, 3, 6]], [[1, 2, 3, 3], [3, 2, 5, 4], [5, 3, 4, 1], [4, 5, 4, 2], [4, 5, 3, 6], [3, 6, 3, 6]], [[3, 3, 1, 4], [1, 4, 1, 4], [1, 1, 1, 1], [1, 2, 2, 2], [2, 6, 3, 4], [3, 6, 1, 2]], [[5, 4, 2, 2], [2, 4, 3, 3], [3, 1, 2, 1], [2, 2, 3, 5], [3, 4, 2, 2], [2, 2, 4, 6]], [[5, 2, 1, 2], [1, 3, 5, 5], [5, 1, 2, 6], [2, 5, 5, 3], [5, 2, 2, 2], [2, 6, 5, 5]], [[3, 2, 3, 5], [3, 5, 4, 5], [4, 6, 2, 2], [2, 3, 4, 5], [4, 2, 6, 6], [6, 5, 6, 5]]]
S-6-6-6-10-NR,1032.7361690998077,110891542,[[[5, 1, 3, 4], [3, 4, 4, 3], [4, 4, 6, 3], [6, 5, 4, 2], [4, 1, 6, 3], [6, 2, 4, 6]], [[4, 4, 3, 2], [3, 3, 4, 2], [4, 3, 4, 5], [4, 2, 4, 1], [4, 3, 5, 1], [5, 6, 3, 2]], [[6, 2, 2, 2], [2, 2, 3, 5], [3, 5, 3, 2], [3, 1, 3, 6], [3, 1, 5, 4], [5, 2, 2, 4]], [[1, 2, 4, 1], [4, 5, 6, 5], [6, 2, 3, 5], [3, 6, 2, 2], [2, 4, 4, 2], [4, 4, 5, 1]], [[4, 1, 1, 4], [1, 5, 3, 5], [3, 5, 6, 1], [6, 2, 5, 1], [5, 2, 2, 4], [2, 1, 3, 5]], [[1, 4, 3, 2], [3, 5, 5, 6], [5, 1, 2, 3], [2, 1, 1, 1], [1, 4, 1, 4], [1, 5, 2, 5]]]
S-6-6-6-119-NR,735.518568277359,92111597,[[[3, 2, 6, 1], [6, 6, 6, 6], [6, 5, 3, 2], [3, 6, 2, 4], [2, 5, 1, 5], [1, 4, 1, 5]], [[1, 1, 6, 4], [6, 6, 4, 1], [4, 2, 1, 2], [1, 4, 2, 4], [2, 5, 4, 4], [4, 5, 4, 5]], [[6, 4, 5, 5], [5, 1, 5, 2], [5, 2, 1, 1], [1, 4, 2, 6], [2, 4, 1, 2], [1, 5, 2, 5]], [[2, 5, 2, 3], [2, 2, 4, 3], [4, 1, 4, 5], [4, 6, 3, 2], [3, 2, 5, 5], [5, 5, 3, 2]], [[3, 3, 6, 2], [6, 3, 4, 6], [4, 5, 2, 4], [2, 2, 3, 5], [3, 5, 6, 1], [6, 2, 2, 1]], [[4, 2, 4, 5], [4, 6, 4, 1], [4, 4, 1, 4], [1, 5, 1, 6], [1, 1, 3, 3], [3, 1, 4, 6]]]
S-6-6-6-120-NR,1344.8264236450195,144231396,[[[5, 3, 3, 3], [3, 2, 3, 2], [3, 6, 2, 5], [2, 6, 5, 6], [5, 5, 1, 4], [1, 6, 4, 2]], [[1, 3, 2, 6], [2, 2, 1, 1], [1, 5, 1, 4], [1, 6, 4, 4], [4, 4, 6, 5], [6, 2, 3, 4]], [[2, 6, 4, 5], [4, 1, 6, 4], [6, 4, 1, 1], [1, 4, 1, 4], [1, 5, 3, 6], [3, 4, 2, 3]], [[3, 5, 6, 6], [6, 4, 5, 2], [5, 1, 2, 4], [2, 4, 4, 5], [4, 6, 3, 4], [3, 3, 6, 3]], [[3, 6, 3, 6], [3, 2, 4, 3], [4, 4, 3, 6], [3, 5, 4, 3], [4, 4, 5, 5], [5, 3, 3, 2]], [[6, 6, 1, 2], [1, 3, 3, 1], [3, 6, 5, 6], [5, 3, 2, 6], [2, 5, 5, 3], [5, 2, 3, 3]]]
