,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0.0,0.0,4.0,8.0,125.0,35.0,27.0,4.0,12.0,1.0,4.0,1.0,,,,1.0
1,0.0,0.0,1.0,22.0,214.0,36.0,19.0,0.0,9.0,,4.0,1.0,2.0,,,1.0
2,1.0,6.0,13.0,5.0,44.0,15.0,4.0,1.0,1.0,,,1.0,1.0,,,1.0
3,1.0,1.0,4.0,23.0,73.0,16.0,6.0,1.0,0.0,,,1.0,,,,1.0
4,1.0,2.0,3.0,15.0,152.0,52.0,9.0,0.0,9.0,1.0,,,2.0,,,1.0
5,0.0,5.0,10.0,6.0,71.0,17.0,8.0,0.0,2.0,2.0,,1.0,,,,1.0
6,3.0,5.0,14.0,12.0,44.0,12.0,5.0,1.0,4.0,1.0,,1.0,2.0,1.0,,1.0
7,3.0,5.0,10.0,8.0,141.0,25.0,7.0,2.0,9.0,2.0,,1.0,,,,1.0
8,1.0,2.0,4.0,26.0,140.0,46.0,14.0,0.0,13.0,,,,2.0,,,1.0
9,0.0,1.0,1.0,2.0,69.0,19.0,5.0,0.0,1.0,,,,1.0,,,1.0
10,1.0,3.0,7.0,7.0,75.0,20.0,8.0,0.0,3.0,,1.0,1.0,1.0,,,1.0
11,0.0,1.0,0.0,17.0,165.0,55.0,19.0,0.0,5.0,,,1.0,,,,1.0
12,0.0,2.0,3.0,6.0,61.0,16.0,3.0,0.0,6.0,2.0,,,1.0,1.0,,1.0
13,0.0,1.0,2.0,11.0,121.0,37.0,12.0,2.0,8.0,3.0,1.0,1.0,1.0,,,1.0
14,1.0,1.0,4.0,4.0,87.0,15.0,9.0,0.0,5.0,1.0,1.0,1.0,,,,1.0
15,1.0,5.0,16.0,13.0,147.0,41.0,11.0,1.0,11.0,5.0,2.0,1.0,,,,1.0
16,2.0,2.0,6.0,18.0,156.0,32.0,5.0,1.0,1.0,,,1.0,,,,1.0
17,0.0,0.0,1.0,3.0,206.0,80.0,47.0,3.0,23.0,8.0,2.0,2.0,,1.0,,1.0
18,2.0,4.0,11.0,18.0,169.0,24.0,8.0,0.0,9.0,1.0,,,1.0,,,1.0
19,0.0,2.0,6.0,21.0,87.0,25.0,9.0,1.0,0.0,,,1.0,,,,1.0
20,1.0,3.0,3.0,4.0,62.0,12.0,5.0,0.0,4.0,1.0,1.0,1.0,,,,1.0
21,0.0,0.0,3.0,11.0,81.0,24.0,18.0,1.0,2.0,1.0,1.0,1.0,3.0,,,1.0
22,1.0,3.0,7.0,12.0,158.0,34.0,12.0,1.0,5.0,,,1.0,,,,1.0
23,1.0,8.0,7.0,11.0,73.0,8.0,6.0,0.0,2.0,1.0,,,2.0,,,1.0
24,0.0,2.0,2.0,13.0,80.0,37.0,11.0,1.0,4.0,1.0,,1.0,1.0,,,1.0
25,2.0,4.0,7.0,15.0,63.0,5.0,3.0,2.0,3.0,1.0,,2.0,,,,1.0
26,0.0,0.0,3.0,24.0,145.0,24.0,6.0,0.0,2.0,,,,1.0,,,1.0
27,1.0,2.0,4.0,11.0,144.0,40.0,6.0,1.0,1.0,,,1.0,,,,1.0
28,0.0,1.0,3.0,2.0,81.0,28.0,15.0,0.0,8.0,2.0,1.0,1.0,,,,1.0
29,0.0,1.0,1.0,17.0,95.0,26.0,10.0,1.0,1.0,,1.0,1.0,1.0,,,1.0
30,1.0,5.0,8.0,5.0,99.0,26.0,18.0,2.0,3.0,1.0,,2.0,,1.0,,1.0
31,2.0,6.0,13.0,9.0,120.0,34.0,20.0,0.0,6.0,,3.0,,3.0,,1.0,1.0
32,1.0,3.0,8.0,25.0,205.0,67.0,21.0,2.0,4.0,2.0,,1.0,,,,1.0
33,1.0,3.0,8.0,32.0,120.0,37.0,14.0,3.0,3.0,,,1.0,,,,1.0
34,1.0,1.0,3.0,6.0,68.0,24.0,8.0,0.0,4.0,,,,1.0,,,1.0
35,2.0,6.0,9.0,15.0,67.0,13.0,7.0,3.0,1.0,,,2.0,1.0,,,1.0
36,1.0,1.0,4.0,10.0,44.0,15.0,6.0,2.0,0.0,,3.0,1.0,,,,1.0
37,1.0,3.0,8.0,8.0,97.0,25.0,5.0,1.0,2.0,2.0,,1.0,,,,1.0
38,0.0,0.0,2.0,15.0,58.0,12.0,7.0,1.0,0.0,,,1.0,,,,1.0
39,0.0,0.0,0.0,23.0,157.0,39.0,8.0,1.0,1.0,,,1.0,,,,1.0
40,1.0,3.0,8.0,8.0,106.0,31.0,3.0,2.0,1.0,,,1.0,,,,1.0
41,1.0,4.0,9.0,5.0,67.0,24.0,17.0,4.0,1.0,3.0,,1.0,,,,1.0
42,0.0,1.0,3.0,7.0,75.0,20.0,10.0,1.0,3.0,,,1.0,1.0,,,1.0
43,3.0,9.0,23.0,13.0,222.0,51.0,16.0,5.0,14.0,1.0,,1.0,,,,1.0
44,1.0,1.0,4.0,11.0,221.0,60.0,13.0,0.0,8.0,,,1.0,2.0,,,1.0
45,1.0,2.0,7.0,24.0,225.0,48.0,13.0,1.0,6.0,1.0,,,2.0,1.0,,1.0
46,2.0,5.0,10.0,15.0,173.0,38.0,15.0,1.0,3.0,,1.0,,1.0,,,1.0
47,1.0,5.0,11.0,4.0,75.0,36.0,19.0,2.0,2.0,1.0,4.0,2.0,,,,1.0
48,1.0,3.0,9.0,11.0,179.0,59.0,34.0,1.0,17.0,7.0,1.0,1.0,,1.0,,1.0
49,0.0,1.0,2.0,35.0,121.0,32.0,12.0,4.0,0.0,,1.0,2.0,,,,1.0
50,1.0,3.0,11.0,31.0,300.0,129.0,52.0,2.0,20.0,6.0,12.0,,2.0,,1.0,1.0
51,0.0,0.0,3.0,10.0,114.0,45.0,24.0,7.0,3.0,2.0,,,1.0,1.0,,1.0
52,0.0,0.0,0.0,5.0,152.0,72.0,20.0,0.0,4.0,5.0,3.0,,1.0,1.0,,1.0
53,1.0,2.0,6.0,16.0,133.0,38.0,9.0,2.0,2.0,1.0,,1.0,,,,1.0
54,1.0,1.0,6.0,26.0,115.0,51.0,6.0,2.0,3.0,,,2.0,,,,1.0
55,2.0,7.0,17.0,28.0,191.0,78.0,17.0,3.0,7.0,2.0,,1.0,1.0,,,1.0
56,2.0,8.0,14.0,9.0,57.0,24.0,7.0,0.0,6.0,1.0,,1.0,,,,1.0
57,3.0,6.0,17.0,16.0,74.0,31.0,12.0,2.0,4.0,1.0,2.0,1.0,2.0,,1.0,1.0
58,1.0,4.0,9.0,8.0,42.0,5.0,4.0,1.0,1.0,,,1.0,,,,1.0
59,2.0,3.0,11.0,21.0,98.0,22.0,2.0,1.0,2.0,,,,1.0,,,1.0
60,1.0,3.0,6.0,6.0,126.0,39.0,17.0,2.0,11.0,3.0,,1.0,,,,1.0
61,0.0,1.0,1.0,15.0,152.0,40.0,19.0,4.0,10.0,3.0,2.0,1.0,1.0,1.0,,1.0
62,1.0,2.0,4.0,8.0,79.0,17.0,7.0,0.0,2.0,,1.0,,2.0,,,1.0
63,0.0,0.0,0.0,16.0,86.0,18.0,3.0,1.0,9.0,,,1.0,,,,1.0
64,1.0,1.0,4.0,4.0,71.0,28.0,9.0,0.0,1.0,2.0,,1.0,,,,1.0
65,3.0,8.0,16.0,11.0,139.0,26.0,8.0,0.0,2.0,3.0,,1.0,,3.0,,1.0
66,0.0,0.0,1.0,24.0,144.0,32.0,8.0,1.0,2.0,1.0,,,1.0,1.0,,1.0
67,1.0,1.0,1.0,8.0,91.0,26.0,7.0,2.0,0.0,,,1.0,,,,1.0
68,1.0,4.0,7.0,20.0,136.0,54.0,19.0,1.0,3.0,1.0,1.0,1.0,,,,1.0
69,0.0,0.0,1.0,16.0,51.0,15.0,7.0,1.0,2.0,1.0,,2.0,,,,1.0
70,0.0,1.0,1.0,25.0,140.0,42.0,20.0,2.0,2.0,,1.0,1.0,,1.0,,1.0
71,2.0,3.0,7.0,7.0,145.0,33.0,10.0,4.0,9.0,1.0,,,1.0,,,1.0
72,1.0,3.0,9.0,20.0,100.0,35.0,8.0,0.0,3.0,1.0,,,2.0,,,1.0
73,1.0,2.0,4.0,3.0,108.0,27.0,7.0,2.0,8.0,,,1.0,,,,1.0
74,2.0,4.0,8.0,7.0,77.0,25.0,13.0,2.0,4.0,,3.0,1.0,,,,1.0
75,1.0,1.0,3.0,8.0,127.0,45.0,11.0,1.0,4.0,,1.0,1.0,,,,1.0
76,0.0,1.0,0.0,4.0,126.0,33.0,17.0,3.0,3.0,1.0,,,2.0,,,1.0
77,2.0,3.0,8.0,5.0,88.0,33.0,6.0,1.0,5.0,,,1.0,1.0,,,1.0
78,0.0,1.0,2.0,17.0,128.0,34.0,14.0,0.0,5.0,4.0,,1.0,1.0,,,1.0
79,0.0,0.0,2.0,4.0,75.0,23.0,7.0,1.0,1.0,,,1.0,,,,1.0
80,1.0,2.0,6.0,10.0,69.0,11.0,5.0,0.0,4.0,,,,4.0,,,1.0
81,0.0,1.0,2.0,10.0,81.0,19.0,18.0,1.0,1.0,3.0,,1.0,,,,1.0
82,1.0,4.0,8.0,8.0,183.0,41.0,9.0,0.0,9.0,1.0,,,1.0,1.0,,1.0
83,1.0,3.0,9.0,20.0,132.0,25.0,7.0,1.0,5.0,1.0,,2.0,,,,1.0
84,0.0,0.0,0.0,12.0,98.0,30.0,17.0,4.0,11.0,2.0,,2.0,,,,1.0
85,1.0,2.0,4.0,7.0,168.0,24.0,9.0,0.0,6.0,2.0,1.0,1.0,,,,1.0
86,0.0,2.0,3.0,18.0,129.0,47.0,17.0,0.0,11.0,2.0,,,1.0,,,1.0
87,0.0,1.0,4.0,15.0,163.0,56.0,24.0,1.0,0.0,1.0,,1.0,,1.0,,1.0
88,2.0,4.0,6.0,11.0,65.0,9.0,4.0,0.0,5.0,,,,1.0,,,1.0
89,2.0,5.0,9.0,23.0,61.0,37.0,16.0,3.0,2.0,3.0,,1.0,,1.0,,1.0
90,1.0,6.0,15.0,20.0,137.0,57.0,31.0,3.0,6.0,,2.0,1.0,,2.0,,1.0
91,1.0,1.0,3.0,19.0,180.0,64.0,29.0,4.0,12.0,4.0,1.0,1.0,,,,1.0
92,0.0,1.0,4.0,1.0,64.0,18.0,6.0,1.0,1.0,,,1.0,,,,1.0
93,1.0,3.0,4.0,4.0,91.0,17.0,8.0,0.0,3.0,2.0,,1.0,1.0,,,1.0
94,0.0,0.0,4.0,66.0,416.0,181.0,80.0,16.0,37.0,15.0,7.0,1.0,1.0,,,1.0
95,2.0,7.0,16.0,23.0,292.0,71.0,23.0,0.0,7.0,4.0,3.0,1.0,,,,1.0
96,2.0,7.0,15.0,27.0,175.0,64.0,20.0,0.0,17.0,4.0,1.0,,1.0,,,1.0
97,1.0,1.0,5.0,1.0,113.0,33.0,7.0,0.0,3.0,1.0,,,2.0,,,1.0
98,0.0,3.0,5.0,13.0,47.0,24.0,5.0,1.0,0.0,1.0,,1.0,,1.0,,1.0
99,2.0,4.0,7.0,8.0,129.0,64.0,16.0,1.0,5.0,1.0,,1.0,,,,1.0
100,1.0,5.0,7.0,16.0,164.0,50.0,24.0,3.0,12.0,2.0,,4.0,,,,1.0
101,2.0,6.0,15.0,3.0,200.0,53.0,16.0,0.0,8.0,2.0,,3.0,2.0,,,2.0
102,0.0,1.0,3.0,23.0,217.0,86.0,18.0,1.0,6.0,1.0,1.0,,1.0,,,1.0
103,0.0,1.0,0.0,13.0,100.0,33.0,11.0,2.0,1.0,1.0,2.0,2.0,,,,2.0
104,1.0,2.0,6.0,17.0,55.0,26.0,5.0,1.0,0.0,,,1.0,,,,1.0
105,0.0,1.0,4.0,5.0,73.0,23.0,6.0,0.0,4.0,,,,1.0,,,1.0
106,0.0,0.0,2.0,20.0,164.0,46.0,21.0,8.0,13.0,2.0,1.0,1.0,,,,1.0
107,2.0,3.0,11.0,19.0,286.0,51.0,16.0,1.0,14.0,4.0,,1.0,,,,1.0
108,0.0,0.0,1.0,2.0,134.0,32.0,8.0,1.0,2.0,,,1.0,,,,1.0
109,1.0,2.0,5.0,5.0,22.0,8.0,2.0,1.0,0.0,1.0,,1.0,,1.0,,1.0
110,0.0,0.0,2.0,12.0,83.0,24.0,3.0,0.0,2.0,,,1.0,,,,1.0
111,1.0,4.0,9.0,35.0,171.0,57.0,20.0,2.0,4.0,,1.0,2.0,1.0,,1.0,1.0
112,1.0,2.0,2.0,6.0,62.0,11.0,4.0,2.0,4.0,,,1.0,,,,1.0
113,1.0,4.0,15.0,18.0,239.0,83.0,17.0,1.0,16.0,,,,2.0,,,2.0
114,1.0,5.0,8.0,1.0,165.0,34.0,9.0,0.0,4.0,1.0,1.0,1.0,,,,1.0
115,2.0,4.0,12.0,23.0,169.0,69.0,27.0,1.0,6.0,1.0,,1.0,,,,1.0
116,0.0,1.0,3.0,14.0,128.0,38.0,14.0,2.0,1.0,1.0,,1.0,,,,1.0
117,0.0,0.0,2.0,22.0,364.0,143.0,48.0,4.0,15.0,5.0,,2.0,,,,1.0
118,2.0,6.0,9.0,16.0,78.0,31.0,10.0,7.0,1.0,1.0,,1.0,,,,1.0
119,0.0,1.0,2.0,16.0,194.0,64.0,25.0,2.0,9.0,2.0,1.0,,1.0,,,1.0
120,1.0,3.0,6.0,2.0,97.0,24.0,6.0,0.0,3.0,,2.0,1.0,1.0,,1.0,1.0
121,2.0,6.0,8.0,3.0,81.0,18.0,9.0,1.0,0.0,,,1.0,,,,1.0
122,1.0,4.0,5.0,7.0,62.0,14.0,7.0,1.0,4.0,,,,2.0,,,1.0
123,0.0,0.0,1.0,4.0,90.0,17.0,7.0,1.0,6.0,,1.0,1.0,,,,1.0
124,0.0,0.0,2.0,8.0,68.0,15.0,2.0,1.0,1.0,,,1.0,,,,1.0
125,0.0,0.0,5.0,16.0,212.0,109.0,27.0,3.0,5.0,1.0,1.0,2.0,,,1.0,1.0
126,0.0,0.0,0.0,18.0,86.0,23.0,11.0,2.0,1.0,,,1.0,,,,1.0
127,0.0,1.0,2.0,49.0,226.0,68.0,20.0,4.0,0.0,,1.0,2.0,,,,1.0
128,2.0,7.0,12.0,9.0,68.0,23.0,5.0,1.0,1.0,2.0,,1.0,,,,1.0
129,1.0,5.0,11.0,4.0,90.0,31.0,7.0,1.0,3.0,1.0,,1.0,,,,1.0
130,1.0,2.0,2.0,20.0,210.0,53.0,13.0,0.0,3.0,3.0,1.0,2.0,1.0,,,1.0
131,1.0,4.0,4.0,11.0,63.0,15.0,6.0,1.0,1.0,,,1.0,,,,1.0
132,3.0,6.0,17.0,27.0,159.0,49.0,6.0,0.0,1.0,1.0,,1.0,,,,1.0
133,2.0,3.0,5.0,7.0,69.0,18.0,7.0,1.0,1.0,2.0,,2.0,,1.0,,1.0
134,1.0,4.0,6.0,3.0,44.0,7.0,2.0,0.0,3.0,1.0,,,2.0,,,1.0
135,0.0,2.0,5.0,34.0,673.0,202.0,50.0,2.0,25.0,3.0,,7.0,,,,1.0
136,1.0,4.0,9.0,18.0,190.0,43.0,19.0,1.0,3.0,1.0,,1.0,,1.0,,1.0
137,1.0,3.0,7.0,4.0,203.0,92.0,38.0,1.0,20.0,13.0,1.0,,2.0,1.0,,1.0
138,1.0,2.0,4.0,0.0,104.0,30.0,9.0,0.0,4.0,3.0,,2.0,2.0,1.0,,1.0
139,1.0,4.0,8.0,24.0,344.0,150.0,57.0,4.0,6.0,4.0,,1.0,,,,1.0
140,0.0,0.0,1.0,6.0,73.0,31.0,14.0,0.0,11.0,4.0,3.0,2.0,,,,1.0
141,3.0,5.0,12.0,25.0,107.0,45.0,25.0,8.0,10.0,,3.0,,1.0,,2.0,1.0
142,0.0,0.0,1.0,11.0,115.0,42.0,11.0,1.0,2.0,2.0,1.0,1.0,,,,1.0
143,1.0,3.0,6.0,7.0,141.0,33.0,12.0,0.0,7.0,1.0,,,1.0,,,1.0
144,1.0,3.0,8.0,28.0,111.0,17.0,6.0,1.0,1.0,,,1.0,1.0,,,1.0
145,0.0,1.0,4.0,18.0,146.0,49.0,7.0,1.0,8.0,2.0,,,2.0,1.0,,1.0
146,1.0,3.0,11.0,30.0,298.0,83.0,36.0,8.0,24.0,1.0,,3.0,,,,1.0
147,1.0,3.0,5.0,9.0,90.0,28.0,7.0,0.0,5.0,,1.0,,2.0,,,1.0
148,1.0,5.0,18.0,31.0,438.0,120.0,39.0,1.0,20.0,6.0,,,6.0,,,1.0
149,1.0,3.0,4.0,4.0,121.0,34.0,8.0,0.0,8.0,1.0,1.0,,1.0,,,1.0
150,0.0,2.0,2.0,6.0,54.0,12.0,4.0,0.0,4.0,,,2.0,,,,1.0
151,1.0,4.0,9.0,14.0,218.0,90.0,21.0,1.0,9.0,,2.0,2.0,,,1.0,1.0
152,2.0,5.0,15.0,2.0,164.0,40.0,5.0,1.0,1.0,,,1.0,,,,1.0
153,2.0,2.0,8.0,20.0,155.0,61.0,31.0,4.0,7.0,1.0,2.0,1.0,,,,1.0
154,1.0,1.0,3.0,27.0,196.0,30.0,13.0,2.0,0.0,,1.0,1.0,,,,1.0
155,0.0,0.0,2.0,21.0,219.0,56.0,23.0,3.0,9.0,3.0,1.0,1.0,,,,1.0
156,0.0,0.0,0.0,3.0,103.0,19.0,11.0,0.0,5.0,1.0,,,,1.0,,1.0
157,0.0,0.0,2.0,36.0,125.0,58.0,27.0,4.0,4.0,,,2.0,,,,1.0
158,1.0,1.0,2.0,6.0,142.0,59.0,17.0,0.0,4.0,,,,1.0,,,1.0
159,3.0,5.0,12.0,8.0,86.0,31.0,4.0,1.0,2.0,,,2.0,,,,1.0
160,3.0,6.0,15.0,9.0,56.0,9.0,4.0,0.0,2.0,,,,1.0,,,1.0
161,0.0,0.0,3.0,22.0,321.0,76.0,27.0,10.0,9.0,3.0,1.0,2.0,,,1.0,1.0
162,2.0,4.0,8.0,4.0,106.0,31.0,14.0,0.0,11.0,2.0,2.0,1.0,1.0,,,1.0
163,3.0,13.0,25.0,6.0,114.0,29.0,8.0,1.0,8.0,3.0,1.0,,2.0,,,1.0
164,2.0,3.0,7.0,8.0,152.0,59.0,16.0,1.0,12.0,4.0,2.0,1.0,,,,1.0
165,2.0,5.0,14.0,8.0,148.0,25.0,11.0,0.0,2.0,,,,1.0,,,1.0
166,3.0,8.0,21.0,25.0,105.0,30.0,7.0,1.0,1.0,2.0,1.0,1.0,,,,1.0
167,1.0,4.0,11.0,20.0,167.0,35.0,7.0,2.0,5.0,3.0,2.0,1.0,,,,1.0
168,1.0,2.0,5.0,6.0,75.0,16.0,16.0,3.0,6.0,3.0,2.0,1.0,2.0,,,1.0
169,0.0,1.0,1.0,4.0,111.0,37.0,10.0,0.0,5.0,3.0,1.0,1.0,,,,1.0
170,3.0,11.0,18.0,19.0,157.0,53.0,10.0,1.0,1.0,4.0,2.0,1.0,,,,1.0
171,1.0,4.0,9.0,1.0,82.0,25.0,10.0,0.0,3.0,,1.0,1.0,,,,1.0
172,1.0,4.0,6.0,30.0,124.0,36.0,10.0,3.0,13.0,,,1.0,1.0,,,1.0
173,0.0,0.0,2.0,2.0,42.0,15.0,7.0,1.0,2.0,2.0,1.0,1.0,,,,1.0
174,1.0,4.0,8.0,3.0,141.0,44.0,13.0,0.0,4.0,2.0,1.0,1.0,,,,1.0
175,0.0,0.0,2.0,6.0,169.0,54.0,16.0,2.0,8.0,,,1.0,,,,1.0
176,1.0,5.0,7.0,20.0,185.0,76.0,21.0,3.0,5.0,3.0,1.0,,2.0,,,1.0
177,3.0,7.0,18.0,18.0,135.0,124.0,26.0,2.0,2.0,7.0,2.0,3.0,,1.0,,1.0
178,1.0,1.0,4.0,0.0,63.0,18.0,7.0,0.0,3.0,2.0,1.0,,1.0,,1.0,1.0
179,0.0,0.0,0.0,6.0,69.0,14.0,6.0,0.0,2.0,,,1.0,,,,1.0
180,2.0,5.0,9.0,6.0,108.0,16.0,6.0,0.0,3.0,,,,1.0,,,1.0
181,1.0,2.0,4.0,3.0,56.0,14.0,5.0,1.0,5.0,,,1.0,,,,1.0
182,0.0,1.0,6.0,10.0,154.0,55.0,25.0,3.0,10.0,2.0,1.0,1.0,2.0,,1.0,1.0
183,2.0,4.0,10.0,3.0,57.0,15.0,6.0,0.0,3.0,1.0,,,1.0,,,1.0
184,3.0,13.0,34.0,5.0,201.0,53.0,20.0,1.0,22.0,,4.0,4.0,,2.0,,2.0
185,0.0,0.0,3.0,8.0,87.0,17.0,4.0,0.0,3.0,2.0,,1.0,,,,1.0
186,0.0,0.0,1.0,14.0,234.0,71.0,33.0,5.0,23.0,5.0,3.0,2.0,,,1.0,1.0
187,2.0,3.0,8.0,5.0,157.0,47.0,20.0,0.0,9.0,2.0,1.0,,,1.0,1.0,1.0
188,0.0,0.0,2.0,7.0,143.0,40.0,15.0,0.0,12.0,4.0,2.0,,2.0,,,1.0
189,1.0,2.0,5.0,9.0,69.0,12.0,3.0,0.0,2.0,,,1.0,,,,1.0
190,1.0,2.0,3.0,20.0,50.0,16.0,3.0,1.0,1.0,,,1.0,1.0,,,1.0
191,3.0,5.0,10.0,46.0,106.0,39.0,5.0,2.0,5.0,1.0,,2.0,,,,1.0
192,3.0,14.0,24.0,5.0,254.0,105.0,46.0,5.0,38.0,5.0,4.0,2.0,5.0,,,1.0
193,1.0,5.0,18.0,51.0,286.0,86.0,30.0,0.0,21.0,4.0,2.0,,1.0,1.0,,1.0
194,0.0,0.0,0.0,3.0,108.0,37.0,8.0,0.0,1.0,1.0,,1.0,,,,1.0
195,0.0,0.0,2.0,12.0,157.0,46.0,29.0,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0
196,1.0,3.0,8.0,31.0,233.0,40.0,10.0,2.0,1.0,1.0,,1.0,,,,1.0
197,1.0,2.0,4.0,25.0,130.0,51.0,11.0,0.0,8.0,,1.0,1.0,,,1.0,1.0
198,1.0,2.0,5.0,10.0,98.0,17.0,5.0,1.0,1.0,,1.0,1.0,,,,1.0
199,0.0,1.0,1.0,5.0,60.0,17.0,11.0,0.0,3.0,,1.0,1.0,,,1.0,1.0
200,0.0,4.0,5.0,20.0,151.0,46.0,11.0,1.0,2.0,,,1.0,1.0,,,1.0
201,2.0,3.0,9.0,7.0,65.0,23.0,4.0,0.0,1.0,1.0,1.0,1.0,,,,1.0
202,1.0,1.0,2.0,21.0,204.0,74.0,28.0,0.0,4.0,,,,1.0,,,1.0
